Aadhaar Seeding,Balance in Accounts (In Crore),Bank Type,No of Accounts,No of Accounts with Zero Balance,No of Rupay Debit Card,Period,Rural,Urban,No_RupayDebit_Rural,No_RupayDebit_Urban,Bal_Rural,Bal_Urban,No_AccZeroBal_Urban,No_AccZeroBal_Rural,No_AaadhaarSeeds_Rural,No_AaadhaarSeeds_Urban,Overall_Bal
74948188,24277.30835,Public Sector Banks,160835981,51024535,138621275,27-01-2016,89537898,71298083,77170901.0,61450374.0,13515.0,10762.0,22619015.0,28405520.0,41723893.0,33224295.0,1509.0
10496171,5358.183291,Regional Rural Banks,36401999,9451369,26389394,27-01-2016,31248470,5153529,22653376.0,3736018.0,4600.0,759.0,1338056.0,8113313.0,9010200.0,1485971.0,1472.0
2409034,1160.971407,Private Banks,7440710,2956533,6971159,27-01-2016,4478240,2962470,4195638.0,2775521.0,699.0,462.0,1177124.0,1779409.0,1449893.0,959141.0,1560.0
78195032,26094.05376,Public Sector Banks,165252090,48592852,140821948,24-02-2016,92238015,73014075,78601953.0,62219995.0,14565.0,11529.0,21469999.0,27122853.0,43645769.0,34549263.0,1579.0
10956777,5756.43675,Regional Rural Banks,37211744,9118065,26653022,24-02-2016,31932869,5278875,22872012.0,3781010.0,4940.0,817.0,1293493.0,7824572.0,9402444.0,1554333.0,1547.0
2532482,1224.398456,Private Banks,7542706,2931522,7089897,24-02-2016,4537976,3004730,4265549.0,2824348.0,737.0,488.0,1167808.0,1763714.0,1523637.0,1008845.0,1623.0
80359651,28139.16931,Public Sector Banks,168457737,46735511,143155970,30-03-2016,94292464,74165273,80130063.0,63025907.0,15751.0,12389.0,20575795.0,26159716.0,44980478.0,35379173.0,1670.0
11629160,6178.11877,Regional Rural Banks,37928568,8780764,26935193,30-03-2016,32571057,5357511,23130525.0,3804668.0,5305.0,873.0,1240306.0,7540458.0,9986510.0,1642650.0,1629.0
2973423,1354.719145,Private Banks,7889169,3182525,7438509,30-03-2016,4843513,3045656,4566833.0,2871676.0,832.0,523.0,1228631.0,1953894.0,1825517.0,1147906.0,1717.0
81690617,28964.99,Public Sector Banks,170431139,45547966,144179464,27-04-2016,95192409,75238730,80529829.0,63649635.0,16178.0,12787.0,20107658.0,25440308.0,45627382.0,36063235.0,1700.0
12022299,6443.29,Regional Rural Banks,38324251,8617759,27185660,27-04-2016,32916141,5408110,23349367.0,3836293.0,5534.0,909.0,1216091.0,7401668.0,10325778.0,1696521.0,1681.0
3087822,1387.28,Private Banks,7997133,3035039,7530737,27-04-2016,4924815,3072318,4637598.0,2893139.0,854.0,533.0,1165993.0,1869046.0,1901550.0,1186272.0,1735.0
84138080,2996128.45,Public Sector Banks,172334277,44627389,145133163,25-05-2016,96345344,75988933,81138267.0,63994896.0,1675018.0,1321110.0,19677964.0,24949425.0,47038305.0,37099775.0,173856.0
13001019,667126.33,Regional Rural Banks,38842602,8575494,27378788,25-05-2016,33362156,5480446,23515814.0,3862974.0,572999.0,94127.0,1209948.0,7365546.0,11166657.0,1834362.0,171751.0
3209927,141510.69,Private Banks,8115421,3068829,7636344,25-05-2016,5014006,3101415,4718015.0,2918329.0,87431.0,54080.0,1172793.0,1896036.0,1983211.0,1226716.0,174373.0
